2024-06-03 15:48:33,648 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2024-06-03 15:48:33,671 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2024-06-03 15:48:33,672 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2024-06-03 15:48:33,673 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2024-06-03 15:48:33,684 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2024-06-03 15:48:33,685 INFO  SwAddin.cs: 197 - Setting up callbacks
2024-06-03 15:48:33,686 INFO  SwAddin.cs: 201 - Setting up command manager
2024-06-03 15:48:33,686 INFO  SwAddin.cs: 204 - Adding command manager
2024-06-03 15:48:33,688 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2024-06-03 15:48:33,690 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2024-06-03 15:48:33,690 INFO  SwAddin.cs: 210 - Adding event handlers
2024-06-03 15:48:33,703 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2024-06-03 15:53:49,607 INFO  SwAddin.cs: 294 - Assembly export called for file 总装
2024-06-03 15:53:49,609 INFO  SwAddin.cs: 299 - Save is required
2024-06-03 15:53:49,609 INFO  SwAddin.cs: 313 - Saving assembly
2024-06-03 15:53:50,665 INFO  SwAddin.cs: 316 - Opening property manager
2024-06-03 15:53:50,698 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 总装
2024-06-03 15:53:50,708 INFO  ExportHelperExtension.cs: 1136 - Found 53 in 总装
2024-06-03 15:53:50,709 INFO  ExportHelperExtension.cs: 1145 - Found 3 features of type [CoordSys] in 总装
2024-06-03 15:53:50,710 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-06-03 15:53:50,712 INFO  ExportHelperExtension.cs: 1160 - 23 components to check
2024-06-03 15:53:50,715 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 履带-1-1
2024-06-03 15:53:50,715 INFO  ExportHelperExtension.cs: 1136 - Found 31 in 履带-1-1
2024-06-03 15:53:50,716 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 履带-1-1
2024-06-03 15:53:50,717 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 总装
2024-06-03 15:53:50,718 INFO  ExportHelperExtension.cs: 1136 - Found 53 in 总装
2024-06-03 15:53:50,718 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [RefAxis] in 总装
2024-06-03 15:53:50,719 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-06-03 15:53:50,720 INFO  ExportHelperExtension.cs: 1160 - 23 components to check
2024-06-03 15:53:50,720 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 履带-1-1
2024-06-03 15:53:50,723 INFO  ExportHelperExtension.cs: 1136 - Found 31 in 履带-1-1
2024-06-03 15:53:50,723 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in 履带-1-1
2024-06-03 15:53:51,241 INFO  SwAddin.cs: 339 - Loading config tree
2024-06-03 15:53:51,245 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2024-06-03 15:53:51,250 INFO  SwAddin.cs: 344 - Showing property manager
2024-06-03 15:53:56,389 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-06-03 15:54:02,278 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-06-03 15:54:02,425 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-06-03 15:54:13,380 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-06-03 15:54:17,180 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
